NM_001017992.4	YFL039C	71.390	1115	309	10	124	1233	17	1126	9.76e-76	283
NM_001377273.1	YNL308C	95.349	43	1	1	3269	3311	159	200	3.36e-10	67.6
NM_001377274.1	YNL308C	95.349	43	1	1	2796	2838	159	200	3.18e-10	67.6
NM_005691.3	YNL308C	95.349	43	1	1	2866	2908	159	200	1.79e-10	67.6
NM_006088.6	YFL037W	69.473	986	283	18	375	1351	301	1277	4.47e-32	137
NM_020297.3	YNL308C	95.349	43	1	1	2866	2908	159	200	3.20e-10	67.6
NM_134268.5	YFR039C	100.000	33	0	0	1843	1875	580	548	3.49e-09	62.1
XM_005253284.4	YNL308C	95.349	43	1	1	3646	3688	159	200	3.50e-10	67.6
XM_005253287.5	YNL308C	95.349	43	1	1	3097	3139	159	200	3.36e-10	67.6
XM_005253288.4	YNL308C	95.349	43	1	1	3530	3572	159	200	3.46e-10	67.6
XM_005253289.4	YNL308C	95.349	43	1	1	3607	3649	159	200	3.49e-10	67.6
XM_005253290.4	YNL308C	95.349	43	1	1	3505	3547	159	200	3.45e-10	67.6
XM_006719025.4	YNL308C	95.349	43	1	1	3607	3649	159	200	3.56e-10	67.6
XM_011520545.3	YNL308C	95.349	43	1	1	3702	3744	159	200	3.52e-10	67.6
XM_017006168.2	YAL001C	100.000	28	0	0	4682	4709	1120	1147	5.52e-06	52.8
XR_926659.1	YIL159W	100.000	28	0	0	385	412	185	212	5.77e-07	52.8
XR_941947.1	YGR245C	100.000	29	0	0	591	619	1629	1657	1.98e-07	54.7
