Q0045,YP_003024028.1,56.900
Q0050,YP_003024028.1,50.000
Q0055,YP_003024028.1,51.515
Q0060,YP_003024028.1,55.696
Q0065,YP_003024028.1,61.943
Q0070,YP_003024028.1,66.049
Q0085,YP_003024031.1,35.577
Q0105,YP_003024038.1,50.000
Q0110,YP_003024038.1,52.258
Q0115,YP_003024038.1,56.725
Q0120,YP_003024038.1,54.400
Q0130,NP_001356685.1,65.217
Q0140,NP_001355044.1,26.866
Q0160,NP_001366570.1,37.500
Q0250,YP_003024029.1,42.727
Q0275,YP_003024032.1,44.615
R0010W,NP_006414.2,28.814
R0020C,NP_065978.1,21.795
R0030W,XP_011528556.1,28.000
R0040C,NP_001306977.1,27.885
YAL001C,NP_001257312.1,37.681
YAL002W,XP_005247310.1,23.288
YAL003W,NP_066944.1,46.460
YAL005C,NP_005518.3,73.364
YAL007C,NP_861974.1,25.389
YAL009W,XP_016863427.1,30.508
YAL012W,NP_001893.2,51.680
YAL013W,NP_115728.2,34.043
YAL014C,NP_004261.1,31.111
YAL015C,NP_002519.2,43.836
YAL016W,NP_055040.2,23.077
YAL016W,NP_055040.2,26.749
YAL016W,NP_055040.2,44.000
YAL017W,XP_016859125.1,38.077
YAL017W,XP_016859125.1,43.750
YAL018C,NP_005111.2,31.148
YAL019W,NP_001241878.1,44.841
YAL020C,NP_057407.2,20.245
YAL020C,NP_057407.2,27.966
YAL020C,NP_057407.2,38.136
YAL021C,NP_001357402.1,35.405
YAL022C,NP_060814.4,24.078
YAL023C,NP_037514.2,35.611
YAL024C,NP_722522.1,22.973
YAL025C,NP_115898.2,48.505
YAL026C,XP_011511920.1,46.450
YAL027W,NP_001357623.1,23.030
YAL028W,NP_001264198.1,25.325
YAL029C,NP_001073936.1,24.812
YAL029C,NP_001073936.1,44.059
YAL030W,NP_055047.2,37.662
YAL031C,XP_024306451.1,27.273
YAL032C,NP_036377.1,26.615
YAL033W,NP_057002.2,25.694
YAL034C,XP_016858684.1,28.000
YAL034W-A,XP_024306692.1,24.719
YAL035W,NP_056988.3,51.803
YAL036C,NP_004138.1,64.770
YAL037C-A,XP_011512137.1,34.483
YAL038W,XP_005254502.1,52.041
